method,seed,latent_dim,beta,n_clusters,silhouette,calinski_harabasz,davies_bouldin,ari,nmi,purity,n_samples_silhouette
vae_kmeans,42,8,0.01,2,0.13371919095516205,1413.421059347837,2.359673924634261,-0.0023158569545427927,0.002466740847185723,0.531946805319468,3000
vae_gmm,42,8,0.01,2,0.13580362498760223,1338.5823449648633,2.334154509659988,-0.0021825723787602057,0.003599997577669791,0.531946805319468,3000
vae_kmeans,42,8,0.01,3,0.10398021340370178,1175.244696629009,2.522020315034613,0.004498433099929845,0.021490071364415782,0.531946805319468,3000
vae_gmm,42,8,0.01,3,0.07136743515729904,671.9399581023383,3.6451926972242283,0.018043652680314264,0.021422878385654976,0.531946805319468,3000
vae_kmeans,42,8,0.01,4,0.10622990131378174,1049.4697730425478,2.280410628672616,0.006150260259941901,0.017779197571704587,0.531946805319468,3000
vae_gmm,42,8,0.01,4,0.07799261808395386,686.9508692604273,3.5746083925091607,0.016060893874810134,0.009169873888977099,0.531946805319468,3000
vae_kmeans,42,8,0.01,5,0.09989012777805328,947.6539524928245,2.144369597993393,0.0036308900587333345,0.03135240381548001,0.531946805319468,3000
vae_gmm,42,8,0.01,5,0.05745008960366249,702.1560274482581,3.0200374038818936,0.014284173780059346,0.00875779859902763,0.531946805319468,3000
vae_kmeans,42,8,0.01,6,0.10130341351032257,877.2756216306086,2.032586779588039,0.005443242274528883,0.03689047113946206,0.531946805319468,3000
vae_gmm,42,8,0.01,6,0.05906040593981743,585.7445641030936,3.007022320369499,0.011289933168915254,0.009251828849522895,0.531946805319468,3000
vae_kmeans,42,8,0.01,7,0.10050299018621445,826.2735432136601,1.9876691253170395,0.004091422143926611,0.028749429478772046,0.531946805319468,3000
vae_gmm,42,8,0.01,7,0.017357580363750458,556.0338593958587,2.819918335412486,-0.0009386358377321664,0.015091536022492906,0.531946805319468,3000
vae_kmeans,42,8,0.01,8,0.09443698823451996,775.4790467777345,2.119098190480056,0.00699000189263938,0.029993647586858737,0.5343465653434657,3000
vae_gmm,42,8,0.01,8,0.02444048784673214,491.2959317871756,3.027341190662872,0.00039578408291712303,0.016067087324153923,0.531946805319468,3000
vae_kmeans,42,8,0.01,9,0.09128152579069138,731.144783271383,2.082079869958889,0.010792422373898542,0.03668349652621047,0.5401459854014599,3000
vae_gmm,42,8,0.01,9,0.016268514096736908,483.12816601285255,2.8520913074950567,0.003235353735220981,0.017530197232477118,0.5404459554044595,3000
vae_kmeans,42,8,0.01,10,0.09054985642433167,689.0776498731258,2.0531098093396567,0.015500145672906652,0.0413180255635767,0.5629437056294371,3000
vae_gmm,42,8,0.01,10,0.02013414539396763,455.232946657074,3.0630809016679796,0.0054913099190145994,0.026178905334667192,0.545945405459454,3000
vae_kmeans,42,8,0.01,11,0.08672023564577103,656.5329003846884,1.9864083618990998,0.01428992906143643,0.0364089384314805,0.5521447855214479,3000
vae_gmm,42,8,0.01,11,0.021819666028022766,386.1591252701841,3.3851882880919835,0.0033383336037176295,0.011730778246200132,0.531946805319468,3000
vae_kmeans,42,8,0.01,12,0.08603852987289429,628.2189050111313,1.9977166256831884,0.02190031464454671,0.06682089521901202,0.5532446755324467,3000
vae_gmm,42,8,0.01,12,0.008829770609736443,358.32982382025216,3.321168286029453,0.005984088883424405,0.019319005336625745,0.5422457754224578,3000
vae_kmeans,42,8,0.01,13,0.08319220691919327,603.4853676550883,1.9481652965209213,0.02819246417913404,0.10363528447264453,0.5708429157084292,3000
vae_gmm,42,8,0.01,13,0.00806245394051075,350.09831592017827,2.884097603853607,0.01675127618411757,0.07096269055473785,0.5592440755924407,3000
vae_kmeans,42,8,0.01,14,0.08185970038175583,582.523324558946,1.8848596374808761,0.02689636624835478,0.10257200345226153,0.5809419058094191,3000
vae_gmm,42,8,0.01,14,0.016301646828651428,369.30307237500557,2.7661771771942254,0.016488314312655274,0.06808259444740832,0.5586441355864413,3000
vae_kmeans,42,8,0.01,15,0.083736851811409,562.1330455844376,1.8396729573078978,0.025821071517347003,0.1016240995607722,0.5848415158484151,3000
vae_gmm,42,8,0.01,15,0.01409301906824112,359.81121901716864,3.033732299805043,0.013479564998955104,0.0707784495598351,0.559044095590441,3000
vae_kmeans,42,8,0.05,2,0.1325569599866867,1375.2797563590232,2.417272219705339,-0.0011906544630733414,0.002218934214795482,0.531946805319468,3000
vae_gmm,42,8,0.05,2,0.13261760771274567,1359.8054506277285,2.3889277597816156,-0.006130837168303869,0.004425565617699396,0.531946805319468,3000
vae_kmeans,42,8,0.05,3,0.1087731420993805,1176.8888533057902,2.492529762895798,0.0009535786563258306,0.0021375604051661096,0.531946805319468,3000
vae_gmm,42,8,0.05,3,0.10746580362319946,1120.0821494331442,2.576470952084674,-0.0020290403584564843,0.00395439030732552,0.531946805319468,3000
vae_kmeans,42,8,0.05,4,0.10178626328706741,1036.7186692803493,2.319307307741982,0.0014560597388672068,0.002149663345568527,0.531946805319468,3000
vae_gmm,42,8,0.05,4,0.09715025871992111,938.9279432204667,2.4292001109291017,0.08668783073233213,0.12974315475730874,0.5522447755224478,3000
vae_kmeans,42,8,0.05,5,0.09957779198884964,948.2959853980353,2.14585403983362,0.009055618952827806,0.018947166157550092,0.531946805319468,3000
vae_gmm,42,8,0.05,5,0.05921848490834236,642.154102925648,3.8504127302419944,0.05354849862080303,0.09884075123508639,0.5591440855914409,3000
vae_kmeans,42,8,0.05,6,0.10340769588947296,880.3116344452744,2.0347905896114002,0.05319287476967841,0.15423847388854425,0.5643435656434357,3000
vae_gmm,42,8,0.05,6,0.06965472549200058,686.5352487083836,2.3579344430111218,0.04797763070364075,0.14382980523671446,0.5640435956404359,3000
vae_kmeans,42,8,0.05,7,0.10244222730398178,836.7097146821616,1.948972408430698,0.06777899553998777,0.16748583172695955,0.6048395160483951,3000
vae_gmm,42,8,0.05,7,0.0722336545586586,601.0182788532469,2.6700569852448526,0.041246168469769875,0.1158116125770124,0.5701429857014298,3000
vae_kmeans,42,8,0.05,8,0.10130379348993301,790.5916646849565,1.878123158421289,0.056431387854908206,0.15799283177783138,0.6006399360063993,3000
vae_gmm,42,8,0.05,8,0.0593985952436924,541.3280951310732,2.910736913502504,0.032231994855846956,0.10701921989850606,0.5655434456554345,3000
vae_kmeans,42,8,0.05,9,0.09822745621204376,749.9640398976143,1.997584770986195,0.04819772974491238,0.14637725845554475,0.5991400859914009,3000
vae_gmm,42,8,0.05,9,0.07395777106285095,545.22812951277,2.4547632996581683,0.035004381217924575,0.10897203543065687,0.5696430356964304,3000
vae_kmeans,42,8,0.05,10,0.10003229975700378,711.9806443043191,1.9353082977231544,0.04582662464495101,0.13919466658713206,0.5961403859614038,3000
vae_gmm,42,8,0.05,10,0.045598842203617096,488.7504015923614,2.840655449918836,0.025183687035808942,0.0950053703732156,0.5674432556744325,3000
vae_kmeans,42,8,0.05,11,0.0994206964969635,679.0389114853417,1.9044469468059484,0.04303114167061165,0.13753773260622626,0.591940805919408,3000
vae_gmm,42,8,0.05,11,0.04861229285597801,489.36493378146906,2.6845644464114784,0.029163723143633895,0.10632132744411149,0.5691430856914309,3000
vae_kmeans,42,8,0.05,12,0.09472745656967163,650.7451700812755,1.902942713254733,0.03356251063336345,0.13092676328257696,0.5880411958804119,3000
vae_gmm,42,8,0.05,12,0.05357193574309349,442.03311660596495,2.353450142745941,0.024159324197672676,0.09562196812577413,0.5669433056694331,3000
vae_kmeans,42,8,0.05,13,0.09378374367952347,626.4344972005866,1.8909959496309474,0.030435514791762056,0.1294478666307496,0.5900409959004099,3000
vae_gmm,42,8,0.05,13,0.05900632590055466,459.5643535841721,2.3413470739919537,0.02042747743526975,0.10150488977059667,0.5708429157084292,3000
vae_kmeans,42,8,0.05,14,0.09611521661281586,602.7359494429779,1.8362004398695488,0.02795681906296521,0.12860044448529986,0.5871412858714129,3000
vae_gmm,42,8,0.05,14,0.04799668490886688,453.2739371651897,2.4166308127296117,0.01821501828554092,0.09944831890860877,0.5725427457254274,3000
vae_kmeans,42,8,0.05,15,0.08884699642658234,582.9325198314685,1.888329495462159,0.0289190852910759,0.12381659485408343,0.5923407659234077,3000
vae_gmm,42,8,0.05,15,0.03745127469301224,397.7485392069196,2.337364918978994,0.019240698645026002,0.08778303456538471,0.565043495650435,3000
